./http/proxy/http-client-server-test -c 500 -i 5000 -r 1

CLIENT TRANS SUCCESS: QPS=55079.00, N=55079, AVG LAT MSEC=9.14, MIN LAT MSEC=0.43, MAX LAT MSEC=1038.34
CLIENT TRANS SUCCESS: QPS=54441.00, N=54441, AVG LAT MSEC=7.33, MIN LAT MSEC=0.44, MAX LAT MSEC=1039.21
CLIENT TRANS SUCCESS: QPS=54453.00, N=54453, AVG LAT MSEC=9.80, MIN LAT MSEC=0.36, MAX LAT MSEC=1042.45
CLIENT TRANS SUCCESS: QPS=53351.00, N=53351, AVG LAT MSEC=11.21, MIN LAT MSEC=1.74, MAX LAT MSEC=1044.99
CLIENT TRANS SUCCESS: QPS=56095.00, N=56095, AVG LAT MSEC=7.01, MIN LAT MSEC=0.42, MAX LAT MSEC=1044.15
CLIENT TRANS SUCCESS: QPS=51657.00, N=51657, AVG LAT MSEC=7.85, MIN LAT MSEC=0.79, MAX LAT MSEC=1044.03
CLIENT TRANS SUCCESS: QPS=54263.00, N=54263, AVG LAT MSEC=11.10, MIN LAT MSEC=0.68, MAX LAT MSEC=1046.10
CLIENT TRANS SUCCESS: QPS=54137.00, N=54137, AVG LAT MSEC=9.74, MIN LAT MSEC=0.34, MAX LAT MSEC=1057.64
CLIENT TRANS SUCCESS: QPS=55660.00, N=55660, AVG LAT MSEC=7.39, MIN LAT MSEC=0.17, MAX LAT MSEC=1028.46
CLIENT TRANS SUCCESS: QPS=53844.00, N=53844, AVG LAT MSEC=9.81, MIN LAT MSEC=0.50, MAX LAT MSEC=1036.14
CLIENT TRANS SUCCESS: QPS=53753.00, N=53753, AVG LAT MSEC=9.75, MIN LAT MSEC=0.48, MAX LAT MSEC=1038.71
CLIENT TRANS SUCCESS: QPS=58883.00, N=58883, AVG LAT MSEC=7.27, MIN LAT MSEC=0.12, MAX LAT MSEC=1040.73
CLIENT TRANS SUCCESS: QPS=53200.00, N=53200, AVG LAT MSEC=7.42, MIN LAT MSEC=0.58, MAX LAT MSEC=1243.38
CLIENT TRANS SUCCESS: QPS=52034.00, N=52034, AVG LAT MSEC=9.33, MIN LAT MSEC=0.64, MAX LAT MSEC=3034.84
CLIENT TRANS SUCCESS: QPS=57079.00, N=57079, AVG LAT MSEC=9.28, MIN LAT MSEC=0.71, MAX LAT MSEC=1037.69
CLIENT TRANS SUCCESS: QPS=52803.00, N=52803, AVG LAT MSEC=6.60, MIN LAT MSEC=0.68, MAX LAT MSEC=1035.23
CLIENT TRANS SUCCESS: QPS=55026.00, N=55026, AVG LAT MSEC=6.74, MIN LAT MSEC=0.33, MAX LAT MSEC=1037.67
CLIENT TRANS SUCCESS: QPS=53074.00, N=53074, AVG LAT MSEC=7.29, MIN LAT MSEC=0.49, MAX LAT MSEC=1032.39
CLIENT TRANS SUCCESS: QPS=55130.00, N=55130, AVG LAT MSEC=6.77, MIN LAT MSEC=0.48, MAX LAT MSEC=1232.62
CLIENT TRANS SUCCESS: QPS=50897.00, N=50897, AVG LAT MSEC=4.60, MIN LAT MSEC=0.43, MAX LAT MSEC=1032.56
CLIENT TRANS SUCCESS: QPS=51534.00, N=51534, AVG LAT MSEC=4.25, MIN LAT MSEC=0.41, MAX LAT MSEC=1030.04
CLIENT TRANS SUCCESS: QPS=52134.00, N=52134, AVG LAT MSEC=2.19, MIN LAT MSEC=0.15, MAX LAT MSEC=1026.24
CLIENT TRANS SUCCESS: QPS=12888.00, N=12888, AVG LAT MSEC=0.39, MIN LAT MSEC=0.07, MAX LAT MSEC=7.28
SERVER CONNECTION ACCEPTS: 2500000
SERVER AVG TRANS PER CONNECTION: 1.00

